C-VPIZR-0;C-VPI1-0;F-VPIMZBM
VPIZR-201908;VPI-0;305,20000
VPIZR-201909;VPI-0;306,70000
VPIZR-201910;VPI-0;307,20000
VPIZR-201911;VPI-0;307,80000
VPIZR-201912;VPI-0;309,80000
VPIZR-2019;VPI-0;305,70000
VPIZR-202001;VPI-0;308,40000
VPIZR-202002;VPI-0;309,00000
VPIZR-202003;VPI-0;309,80000
VPIZR-202004;VPI-0;309,80000
VPIZR-202005;VPI-0;307,80000
VPIZR-202006;VPI-0;309,50000
VPIZR-202007;VPI-0;310,10000
VPIZR-202008;VPI-0;309,50000
VPIZR-202009;VPI-0;311,00000
VPIZR-202010;VPI-0;311,20000
VPIZR-202011;VPI-0;311,80000
VPIZR-202012;VPI-0;313,50000
VPIZR-2020;VPI-0;310,10000
VPIZR-202101;VPI-0;311,00000
VPIZR-202102;VPI-0;312,60000
VPIZR-202103;VPI-0;316,00000
VPIZR-202104;VPI-0;315,70000
VPIZR-202105;VPI-0;316,60000
VPIZR-202106;VPI-0;318,20000
VPIZR-202107;VPI-0;319,10000
VPIZR-202108;VPI-0;319,40000
